"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000151632",1368.12594800974,2.63560903066952,0.145294455097991,18.1397771091263,1.54657097627777e-73,3.51752102844616e-69,"AKR1C2"
"ENSG00000108602",6165.90535450522,2.51940043195837,0.154233220815066,16.3350049920779,5.562772527432e-60,6.32598491819567e-56,"ALDH3A1"
"ENSG00000253339",64.1111241291279,2.7411703213635,0.176992292508125,15.4875123798833,4.21278227672221e-54,3.193850670059e-50,"ENSG00000253339"
"ENSG00000198074",286.216335468723,3.02703918431783,0.197291375618075,15.3429878768634,3.94606060266998e-53,2.24373005867815e-49,"AKR1B10"
"ENSG00000134873",233.411317235426,2.19116228381487,0.144059957933124,15.2100716621898,3.03211046522605e-52,1.37924640842203e-48,"CLDN10"
"ENSG00000151012",250.250060391965,2.90390122245026,0.194825626915756,14.9051296198622,3.05219725083204e-50,1.15698623788206e-46,"SLC7A11"
"ENSG00000138061",3432.40765200031,3.12570030646338,0.210509913067783,14.8482333250355,7.14262619808894e-50,2.32074128927621e-46,"CYP1B1"
"ENSG00000231683",219.793682179955,2.99633026161299,0.207294420920189,14.4544664941398,2.34943163990971e-47,6.67943415226331e-44,"ENSG00000231683"
"ENSG00000105388",1607.67321656262,2.72942186559404,0.200549603456725,13.6097096107348,3.50634213073186e-42,8.8609161579295e-39,"CEACAM5"
"ENSG00000124664",367.887748232511,2.04052968760569,0.150861536137446,13.5258445581955,1.10072210241699e-41,2.5034823497372e-38,"SPDEF"
"ENSG00000181019",1480.44726942562,2.01165069263359,0.152686148138687,13.1750700188362,1.22114094163098e-39,2.52487541604136e-36,"NQO1"
"ENSG00000140961",81.2851510142534,1.58696420649089,0.121845672144586,13.0243789423045,8.89216344494516e-39,1.68536137826527e-35,"OSGIN1"
"ENSG00000065833",201.305962176993,1.55651552954209,0.119579755097823,13.0165472263158,9.85262131968311e-39,1.72375399457594e-35,"ME1"
"ENSG00000019102",227.977178363755,1.30429795492491,0.101241034441139,12.8830958921426,5.60416108680841e-38,9.10435998274075e-35,"VSIG2"
"ENSG00000176153",350.455322150668,1.89567525223501,0.148369886165995,12.7766846846141,2.21303440319902e-37,3.35555029775723e-34,"GPX2"
"ENSG00000198488",79.8701324131186,2.43376842982363,0.191843852733406,12.6861945021804,7.05303084001356e-37,1.00258833390793e-33,"B3GNT6"
"ENSG00000005108",202.302802561673,-1.30621098310138,0.104841754172912,-12.4588814199645,1.2511314957328e-35,1.67386674934982e-32,"THSD7A"
